repo_name;release_count;age;star_count
OctoPrint/OctoPrint;145;4259;8215
Pegase745/sqlalchemy-datatables;12;4040;159
StartupsPoleEmploi/labonneboite;5;2562;42
alephdata/aleph;29;3654;1996
all-of-us/raw-data-repository;461;2933;40
apache/airflow;88;3426;36042
betterlife/betterlifepsi;9;3359;2
blockstack/blockstack-core;118;3628;3006
csm-aut/csm;7;3481;11
dpgaspar/Flask-AppBuilder;40;3945;4616
etalab/udata;99;3779;238
fedora-infra/anitya;32;3926;243
flask-admin/flask-admin;17;4546;5729
geopython/GeoHealthCheck;9;3642;84
getredash/redash;98;3958;25856
getslash/backslash;22;3655;16
jfinkels/flask-restless;25;4565;1021
levlaz/braindump;10;3202;526
lyft/confidant;10;3275;1837
nsacyber/WALKOFF;40;3004;1199
osmlab/maproulette;5;4199;47
raymondEhlers/OVERWATCH;8;3135;10
realpython/cookiecutter-flask-skeleton;12;3508;435
sagemath/sagenb;10;4635;117
seiferta/eMonitor;6;3828;21
sepro/MemoBoard;15;3107;35
spiral-project/ihatemoney;13;4921;1162
tetherless-world/whyis;5;3119;52
voxpupuli/puppetboard;61;4049;712
Clarifai/clarifai-python;34;3744;24
Cornices/cornice;36;4705;382
GeotrekCE/Geotrek-admin;351;4133;130
GoogleCloudPlatform/forseti-security;63;2751;1274
MDAnalysis/mdanalysis;30;3435;1276
Mergifyio/mergify-engine;9;2325;319
OpenMined/PySyft;152;2598;9417
PyMySQL/PyMySQL;7;4782;7631
RPing/influx-prompt;8;2329;45
Scitator/catalyst;41;2201;3257
ansible/galaxy;7;3629;850
blaze/distributed;8;3273;1562
cfpb/cfgov-refresh;1586;3788;270
cfpb/wagtail-sharing;27;2788;53
circus-tent/circus;7;4586;1546
clearlinux/autospec;13;3219;100
corteva/geocube;30;1974;331
delfick/photons;76;1518;73
dj-stripe/dj-stripe;70;4042;1597
elifesciences/sciencebeam;11;2626;293
elyra-ai/elyra;18;1772;1823
facebookresearch/detectron2;10;1819;29848
gunthercox/ChatterBot;86;3623;14003
healthchecks/healthchecks;59;3353;7966
httpie/httpie;46;4569;33240
idan/oauthlib;48;4666;2781
infobyte/faraday;85;3949;4797
jazzband/pip-tools;69;4371;7668
lbryio/lbry;282;3297;7193
matrix-org/sydent;24;3671;290
menpo/menpo;34;4141;324
missionpinball/mpf;34;3716;214
mlflow/mlflow;99;2277;18229
mopidy/mopidy;17;5363;8002
mopidy/mopidy-gmusic;13;4074;214
mopidy/mopidy-mpris;14;3978;35
mopidy/mopidy-spotify;27;3977;930
moremoban/moban;61;3137;33
mozilla/addons-server;5;3863;863
mozilla/kitsune;16;5329;1289
mozilla/pontoon;29;4940;1441
mozmeao/snippets-service;95;4136;31
mytardis/mytardis;20;4664;86
nipy/nibabel;40;5152;642
openwisp/openwisp-monitoring;6;1623;161
optuna/optuna;65;2381;10404
pfnet/pfio;37;1955;52
pfnet/pfrl;5;1527;1173
pimoroni/mopidy-raspberry-gpio;5;1785;21
praw-dev/asyncpraw;12;2032;107
pypa/bandersnatch;31;2299;446
pypa/readme_renderer;29;3836;158
pyproj4/pyproj;52;3530;1036
realsuayip/django-sozluk;19;1766;313
rectalogic/mopidy-pandora;13;3536;27
rigetti/grove;8;2807;374
salesforce/django-declarative-apis;18;1875;26
sphinx-doc/sphinx;57;3527;6374
tensorflow/hub;20;2362;3462
tfeldmann/organize;49;2535;2077
torchbox/wagtail;244;3860;17812
unknown-horizons/unknown-horizons;25;5120;1417
zalando-stups/zign;9;3396;12
zalando/connexion;138;3390;4473
LyfeOnEdge/HBUpdater;21;1963;42
cclib/cclib;26;3895;324
jsalt18-sentence-repl/jiant;19;2264;1636
pantsbuild/pants;518;4273;3247
spotdl/spotify-downloader;85;2976;16656
scrapinghub/scrapy-autounit;14;2058;55
sosy-lab/benchexec;60;3485;227
1Prototype1/HexBot;6;1465;107
Nathan-LS/Insight;11;2394;31
ParadoxAlarmInterface/pai;35;2337;347
Roxxers/roxbot;12;2655;21
danieldotnl/hass-multiscrape;11;1483;18
laramies/theHarvester;26;4988;10990
lgrahl/threema-msgapi-sdk-python;17;3446;50
qtumproject/qtum-electrum;46;2551;72
randovania/randovania;124;2548;186
y-young/nazurin;24;1657;260
abrt/faf;6;4227;46
fedora-infra/python-fedora;6;4239;33
jhermann/rituals;5;3481;30
novafloss/django-generic-filters;22;4014;50
onepercentclub/bluebottle;369;3989;11
santoshphilip/eppy;33;4352;151
AppScale/appscale-tools;23;4514;51
Borda/BIRL;6;2862;90
DLR-RM/BlenderProc;6;1785;2710
DMS-Aus/Roam;15;3928;169
StackStorm/st2;70;3781;6020
awslabs/sockeye;76;2639;1210
choderalab/Protons;7;3949;21
dataversioncontrol/dvc;544;2735;13546
epinna/weevely3;12;3631;3147
hammerlab/mhcflurry;28;3349;189
hibtc/cpymad;16;3561;26
metabrainz/picard;77;4761;3679
patacrep/patacrep;6;4163;46
poldracklab/niworkflows;171;2961;86
ros-infrastructure/bloom;6;4480;58
torchbox/django-pattern-library;8;1653;359
borisbabic/browser_cookie3;6;3413;824
ihaveamac/3dsconv;17;3058;506
mkb79/Audible;35;1899;304
255BITS/HyperGAN;7;2987;1194
DiamondLightSource/Savu;23;3578;38
psychopy/psychopy;110;5111;1664
python-microscopy/python-microscopy;39;1736;83
AppScale/appscale;29;4542;2420
Baekalfen/PyBoy;32;3380;4564
Breakthrough/PySceneDetect;33;3739;3094
City-of-Helsinki/respa;19;3380;78
Clinical-Genomics/BALSAMIC;33;2366;44
Cog-Creators/Red-DiscordBot;83;3162;4693
Dan6erbond/aPRAW;18;1831;50
DataDog/dd-trace-py;521;2992;512
ESMValGroup/ESMValCore;50;1913;42
FAForever/server;71;3593;67
GeorgeCiesinski/text-script;6;1701;72
GeoscienceAustralia/PyRate;7;3384;200
GoogleCloudPlatform/terraform-python-testing-helper;36;1988;209
HTTP-APIs/hydrus;15;2816;193
IBM/lale;84;1850;326
JNRowe/pyisbn;10;5607;41
KanoComputing/kano-toolset;51;3830;15
KeepSafe/aiohttp;150;3984;14906
KimiNewt/pyshark;16;3897;2195
LLNL/spack;44;3886;4196
Materials-Consortia/optimade-python-tools;86;2276;64
Mouse-Imaging-Centre/pyminc;14;4548;13
MozillaSecurity/laniakea;8;3564;27
MozillaSecurity/lithium;11;3340;94
NSLS-II/ophyd;13;3585;49
OGGM/oggm;22;3247;215
OP2/PyOP2;116;4460;80
PennyLaneAI/pennylane;58;2326;2253
ProjectQ-Framework/ProjectQ;24;2801;874
QCoDeS/Qcodes;83;3369;320
RunestoneInteractive/RunestoneServer;25;4598;575
SamR1/FitTrackee;81;2706;680
SparkTC/enterprise_gateway;38;2687;616
StellarCN/py-stellar-base;148;3261;342
Telefonica/toolium;63;3235;113
TileDB-Inc/TileDB-Py;140;2658;184
Toblerity/Fiona;23;4625;1143
Toblerity/rtree;13;4820;615
Trusted-AI/adversarial-robustness-toolbox;58;2359;4725
Ultimaker/Uranium;7;3580;322
XKNX/xknx;121;3126;285
acsone/setuptools-odoo;21;3257;41
aio-libs/aiohttp-session;24;3514;236
aio-libs/aioredis;29;3749;2296
akrherz/pyIEM;30;4254;41
albermax/innvestigate;6;2451;1252
alphatwirl/alphatwirl;43;3482;10
amphibian-dev/toad;9;2190;473
ansible-community/ansible-lint;97;4033;3427
ansible/ansible;99;4559;62205
appium/python-client;9;3797;1647
aws/sagemaker-xgboost-container;6;1927;121
awslabs/autogluon;33;1858;7581
beer-garden/beer-garden;66;2399;256
biologyguy/BuddySuite;16;3514;123
biosustain/cameo;33;3809;113
bmoscon/cryptofeed;73;2448;2184
braindecode/braindecode;5;1696;773
brechtm/rinohtype;15;3959;499
bsmurphy/PyKrige;11;3619;751
carpedm20/fbchat;47;3421;1183
chainer/chainer-chemistry;8;2466;628
cobbler/cobbler;42;4678;2592
cobrateam/splinter;14;5093;2710
codeforpdx/recordexpungPDX;73;2148;50
creare-com/podpac;16;2361;43
cylc/cylc;100;4837;326
darcymason/pydicom;29;3955;1870
databricks/koalas;47;2064;3327
dateutil/dateutil;20;3571;2311
davidh-ssec/polar2grid;9;4460;71
dbcli/mssql-cli;9;2512;1352
dhimmel/obonet;6;3392;135
dnouri/skorch;16;2599;5747
dropbox/dropbox-sdk-python;95;3365;930
dstrigl/htheatpump;10;2751;20
duniter/sakia;78;3864;64
edx/edx-lint;33;3500;50
equinor/gordo;218;2150;26
fchollet/keras;70;3442;61517
fitodic/centerline;6;3562;263
flairNLP/flair;26;2271;13790
flashcode/msgcheck;8;4256;12
frgfm/torch-cam;8;1620;1957
gaphor/gaphas;55;5550;164
gaphor/gaphor;64;5544;1815
gatheringhallstudios/MHWorldData;29;2373;147
geopy/geopy;37;5291;4421
getnikola/nikola;80;4520;2596
gijzelaerr/python-snap7;21;3977;642
glotzerlab/signac;14;2037;129
hachmannlab/ChemML;5;2457;159
hugovk/pypistats;29;2168;196
ishepard/pydriller;43;2353;825
jgayfer/pydest;5;2578;70
jhfjhfj1/autokeras;59;2474;9102
joke2k/faker;280;4307;17527
josuebrunel/yahoo-oauth;7;3377;64
k-bx/python-semver;19;4587;461
kbandla/dpkt;11;4467;1084
kenfar/DataGristle;5;4918;135
larq/zoo;58;1946;104
lbl-anp/becquerel;17;2885;43
lingthio/Flask-User;6;3843;1056
lockwooddev/python-wowapi;8;4106;49
mackelab/sbi;31;1661;563
matthewgilbert/pdblp;9;3357;241
microsoft/graspologic;16;2183;754
microsoft/playwright-python;89;1520;11437
mindsdb/mindsdb;241;2219;26113
mit-crpg/openmc;20;4788;742
ml31415/numpy-groupies;14;4108;194
nautechsystems/nautilus_trader;106;2257;1930
nco/pynco;6;3881;91
nengo/nengo;21;4149;814
neo4j/neo4j-python-driver;105;3404;891
nicolewhite/cycli;6;3317;271
nipy/nipype;43;5152;746
ns1/ns1-python;7;2855;25
nvictus/priority-queue-dictionary;7;4503;85
oVirt/vdsm;22;4325;160
ocadotechnology/aimmo;587;3334;116
odlgroup/odl;15;3220;361
openstenoproject/plover;43;4460;2314
opsdroid/opsdroid;50;2958;820
osbuild/osbuild;131;2053;202
pantsbuild/pex;275;3692;2518
paulgavrikov/visualkeras;6;1434;550
photosynthesis-team/photosynthesis.metrics;17;1715;1360
playpauseandstop/rororo;46;4329;105
plotly/dash;70;3429;21102
probabilistic-numerics/probnum;29;1763;431
pydicom/pynetdicom;20;2892;496
pylast/pylast;34;4235;664
pymc-devs/aesara;51;665;324
pymedusa/SickRage;124;3110;1762
python-pillow/Pillow;56;4418;12048
pywbem/pywbem;58;3249;41
pyxem/pyxem;32;3150;147
quark-engine/quark-engine;61;1773;1273
qutip/qutip;28;4342;1669
radomirbosak/duden;17;3234;98
reportportal/agent-Python-RobotFramework;23;2906;59
robotframework/SeleniumLibrary;57;4695;1375
roskakori/pygount;7;4156;154
s3ql/s3ql;31;3335;1065
salu133445/pypianoroll;15;2420;132
scikit-hep/boost-histogram;30;2175;143
scikit-image/scikit-image;32;4801;6009
scrapinghub/shub;37;3727;125
se2p/pynguin;55;1494;1229
sentinel-hub/sentinel2-cloud-detector;12;2411;420
sjkingo/python-freshdesk;19;3529;83
smaniotto/django-nomad;6;2628;92
smarie/python-autoclass;12;2798;36
snipsco/snips-nlu-metrics;15;2604;13
sobolevn/django-split-settings;9;4122;1099
sopel-irc/sopel;72;4634;948
soxofaan/duviz;5;4596;113
stellargraph/stellargraph;25;2330;2931
sunpy/sunpy;139;4772;903
supermihi/pytaglib;12;4751;179
theislab/sfaira;16;1452;134
tomerfiliba/plumbum;10;4507;2798
uber/h3-py;23;2269;805
uber/petastorm;48;2266;1778
usnistgov/pyMCR;8;2451;81
vatlab/SOS;51;3120;271
wavespectra/wavespectra;14;1825;66
weecology/retriever;12;4811;307
wikimedia/cumin;16;2794;24
willcl-ark/lnd_grpc;12;2043;40
williballenthin/python-registry;5;4856;425
wookayin/gpustat;11;3049;3994
xigt/xigt;5;4155;31
ymyzk/python-gyazo;28;3689;19
zapatacomputing/z-quantum-core;15;1598;27
CenterForOpenScience/osf.io;21;4118;665
DIRACGrid/DIRAC;211;4894;111
DataDog/datadogpy;62;3501;608
DataDog/dd-agent;103;4990;1298
Mozilla-TWQA/Hasal;11;3076;30
MrSprigster/Twitch-on-Kodi;56;4463;268
OnToology/OnToology;7;3459;78
OpenCanada/website;15;3380;14
allankp/pytest-testrail;14;3141;95
beebeeep/cacus;11;3265;10
bryantbhowell/tableau_tools;42;2976;215
certbot/certbot;52;3578;31250
ckan/datapusher;7;4308;76
foospidy/HoneyPy;18;3938;457
getsentry/sentry;135;5112;38415
h3llrais3r/Auto-Subliminal;23;3906;42
hfaran/piazza-api;19;3913;185
hypothesis/h;85;4532;2921
ikreymer/pywb;41;3916;1356
internetarchive/openlibrary;107;5782;5062
john-kurkowski/tldextract;7;4933;1826
log2timeline/plaso;48;3642;1686
mgckind/easyaccess;20;3491;15
mixja/cfn-lambda-handler;7;2884;15
mozilla/mozregression;108;5313;172
opentargets/data_pipeline;16;3146;17
openvstorage/framework;70;3326;27
parklab/refinery-platform;36;4662;102
proycon/clam;88;5168;129
pysat/pysat;38;3434;150
scrapinghub/python-scrapinghub;9;4762;202
sethblack/python-seo-analyzer;11;4261;1146
six-pack/Axis-Mundi;7;3407;59
sonata-nfv/son-emu;9;3144;36
splunk/splunk-ansible;63;2177;354
vmware/pyvmomi;28;3912;2202
ENCODE-DCC/encoded;84;4283;110
FCP-INDI/C-PAC;38;4452;62
GeoNode/geonode;42;5201;1426
GoogleCloudPlatform/PerfKitBenchmarker;17;3696;1892
Koed00/django-q;78;3364;1817
Nextdoor/kingpin;24;3669;27
PUNCH-Cyber/stoq-plugins-public;13;3206;71
RaRe-Technologies/smart_open;51;3527;3162
ansible-collections/amazon.aws;62;1660;281
artsy/hokusai;37;2830;92
aws/aws-parallelcluster;89;3761;825
biothings/biothings.api;9;3151;45
buildbot/buildbot;74;5168;5230
celery/kombu;32;5181;2851
cloudtools/stacker;38;3522;711
conda/conda;167;4335;6322
django-ses/django-ses;50;4965;994
edx/edx-ora2;309;3901;61
etianen/django-s3-storage;9;3514;411
jantman/awslimitchecker;33;3372;515
mapproxy/mapproxy;5;4511;546
mapzen/tilequeue;38;3618;46
mgrp/django-distill;16;3417;419
mozilla-services/autopush;90;3464;217
mozilla-services/socorro;192;4754;585
nchammas/flintrock;14;3374;636
ngageoint/scale;39;3207;105
novemberfiveco/s3pypi;32;3074;320
open-craft/opencraft;15;3308;55
openstax/openstax-cms;227;3228;97
sbrunner/tilecloud-chain;75;4360;47
scrapinghub/spidermon;10;3208;526
spotify/luigi;59;4361;17658
spulec/moto;30;4209;7571
tendenci/tendenci;116;5228;487
wamdam/backy2;22;3264;192
xethorn/garcon;31;3538;39
zalando-stups/berry;5;3437;12
zalando-stups/senza;127;3440;96
zulip/zulip;104;3261;21079
Murodese/pynab;9;3986;209
cloudera/ibis;22;3421;4908
psf/black;44;2360;38277
robshakir/pyangbind;10;3415;201
scrapinghub/dateparser;29;3566;2519
securisec/chepy;52;1768;897
vertexproject/synapse;315;3367;348
xxyzz/WordDumb;115;1407;367
ARTFL-Project/PhiloLogic4;62;4209;34
kovidgoyal/calibre;303;4111;19199
SeldonIO/alibi;33;2011;2364
SimonBlanke/hyperactive;31;2128;501
Tobias-Fischer/rt_gene;10;2157;365
beringresearch/ivis;36;2208;327
christianversloot/extra_keras_datasets;31;1694;31
evilsocket/ergo;17;2108;294
google/qkeras;6;1849;532
keras-team/keras-tuner;32;1910;2846
maxpumperla/elephas;10;3304;1573
PMEAL/OpenPNM;39;4052;442
ejeschke/ginga;25;4450;120
igmhub/picca;21;2822;29
jobovy/galpy;20;4734;223
matplotlib/matplotlib;87;4940;19892
nkarasiak/dzetsaka;33;3026;80
numbbo/coco;41;3309;259
ratschlab/spladder;24;3691;103
scikit-learn/scikit-learn;42;5126;59279
scipy/scipy;93;4922;12868
Bookworm-project/BookwormDB;9;4690;84
FORTH-ICS-INSPIRE/artemis;12;2103;302
abe-winter/pg13-py;9;3515;16
checktheroads/hyperglass;27;1940;618
linzhiming0826/sanic-restful;7;1816;21
long2ice/mysql2ch;24;1657;347
materials-data-facility/forge;29;2794;30
zulip/zulip-terminal;7;2378;613
ARMmbed/mbed-cli;43;3071;332
CellProfiler/CellProfiler-Analyst;6;4676;144
CubicERP/cubicerp;5;2789;34
Flexget/Flexget;282;4909;1722
PokemonGoF/PokemonGo-Bot;7;2962;3858
akvo/akvo-rsr;117;5386;39
camptocamp/c2cgeoportal;66;4649;64
debomatic/debomatic;21;3695;24
gwastro/pycbc;157;3467;312
maloep/romcollectionbrowser;8;3416;83
phrawzty/AudioAddict.bundle;9;3776;24
sabnzbd/sabnzbd;223;4767;2233
stamparm/maltrail;61;3555;6302
yomguy/DeeFuzzer;9;4693;143
AllenInstitute/ipfx;6;2454;24
ManageIQ/wrapanapi;69;3285;17
Yelp/Tron;17;5102;340
aiidateam/aiida-core;35;2806;426
beetbox/beets;34;5133;12684
datadotworld/data.world-py;24;2778;101
datalad/datalad;109;3954;520
emc-openstack/vnx-direct-driver;26;3907;18
frappe/erpnext;1402;4831;18773
frappe/frappe;1280;4831;6879
jaraco/wolframalpha;11;3200;148
lxc/pylxd;12;3383;253
mesosphere/marathon-lb;52;3249;449
openatv/enigma2;10;4445;199
pndurette/gTTS;22;3759;2245
rackspace/pyrax;22;4354;237
sanger-pathogens/gff3toembl;5;3620;29
scrapy/w3lib;11;4883;388
wkentaro/gdown;20;3239;4140
yougov/pmxbot;17;3193;26
ARMmbed/yotta;89;3857;164
CloudVE/cloudbridge;15;3272;113
CoreSecurity/pysap;17;3809;215
LibertyAces/BitSwanPump;6;2080;24
SFDO-Tooling/CumulusCI;233;3891;356
Tribler/tribler;141;4203;4763
ansible/awx;64;2661;13825
bargate-project/bargate;29;3791;17
barneygale/quarry;11;3711;532
cowrie/cowrie;19;3397;5086
home-assistant/hassio;435;2725;1712
jpadilla/pyjwt;37;4934;5061
log2timeline/dfvfs;18;3642;201
offu/WeRoBot;28;4229;4563
ojarva/python-sshpubkeys;7;3542;100
paterva/maltego-trx;10;2277;215
phaethon/kamene;19;3500;863
privacyidea/privacyidea;43;3740;1469
reviewboard/reviewboard;9;5485;1555
secdev/scapy;13;3255;10500
thinkst/opencanary;6;3312;2269
twisted/twisted;32;4807;5540
Abjad/abjad;29;3957;237
PyMySQL/mysqlclient;13;3776;2441
Thermondo/pytest-translations;5;3529;17
aibasel/pyperplan;6;1659;90
diofant/diofant;8;3476;69
edgedb/edgedb;26;2617;12894
pytest-dev/pytest;72;3362;11824
tarbell-project/tarbell;6;4259;166
translate/translate;74;4545;838
IdentityPython/pysaml2;51;4480;556
NervanaSystems/neon;32;3605;3869
ceholden/yatsm;13;3738;63
copier-org/copier;42;4685;1894
csirtgadgets/bearded-avenger;42;3632;180
inducer/pycuda;8;4894;1813
ionrock/cachecontrol;6;4090;467
jasonlaska/skggm;6;3001;238
Chavithra/degiro-connector;11;1486;210
Rhinik/vkquick;26;1573;70
eversum/galacteek;58;2112;169
hsahovic/poke-env;50;1850;290
sumeshi/evtx2es;6;1790;80
terraform-compliance/cli;179;2706;1343
panoptes/POCS;9;3983;77
BjornFJohansson/pydna;16;3494;162
ClusterLabs/crmsh;18;3816;130
DIYBookScanner/spreads;8;4091;125
Galvant/InstrumentKit;15;4138;244
HERA-Team/pyuvdata;39;3236;82
MasterOdin/pylint_runner;9;3451;19
ReproNim/niceman;8;3045;24
SALib/SALib;33;4109;864
StingraySoftware/stingray;11;3256;170
Thor77/TeamspeakStats;14;3335;18
ajdawson/eofs;6;4185;198
ajdawson/windspharm;6;4454;82
alkaline-ml/pmdarima;44;2709;1569
amzn/ion-python;17;3065;259
apple/coremltools;39;2617;4301
bashtage/arch;47;3653;1311
bbangert/beaker;9;4701;516
biocore/scikit-bio;24;3912;877
bodbdigr/restea;6;3452;9
bodono/scs-python;5;2501;40
cdent/paste;6;2137;59
chainer/chainermn;7;2767;207
cihologramas/pyoptools;7;3432;136
dib-lab/khmer;14;4489;747
diyan/pywinrm;10;4437;1054
django-oscar/django-oscar;8;5012;6214
edickie/ciftify;22;2919;111
frictionlessdata/datapackage-py;76;3237;191
gcovr/gcovr;12;4124;853
geopandas/geopandas;36;4081;4421
histrio/py-couchdb;5;4243;114
ianlini/flatten-dict;10;2814;174
iotile/coretools;105;2836;14
juhasch/PhysicalQuantities;15;3786;21
jupyter-server/jupyter_server;123;2899;479
jupyter/nbconvert;52;3430;1708
kotfu/tomcat-manager;14;4256;115
landlab/landlab;9;3765;349
linkcheck/linkchecker;9;2767;867
lmfit/lmfit-py;37;4777;1051
luispedro/mahotas;6;5324;837
markokr/rarfile;5;4692;244
mwaskom/seaborn;37;4455;12355
nccgroup/ScoutSuite;35;2130;6567
networkx/networkx;56;5106;14655
nilearn/nilearn;11;4981;1157
oemof/oemof-solph;37;3201;293
pierrepo/PBxplore;5;4094;28
plotly/plotly.py;85;3934;15940
pvlib/pvlib-python;43;3481;1155
pydata/pandas-gbq;40;2759;437
pymssql/pymssql;17;4007;832
python-visualization/folium;28;4130;6832
qtile/qtile;21;5843;4754
rasbt/mlxtend;29;3668;4855
sckott/pygbif;11;3529;106
statsmodels/statsmodels;27;4827;9946
tqdm/tqdm;128;3375;28247
uber/vertica-python;69;4040;378
witten/atticmatic;123;3571;1714
AdCombo/flask-combo-jsonapi;8;1676;32
MediaBrowser/MediaBrowser.Kodi;66;3962;46
getsentry/raven-python;10;4711;1678
gmr/consulate;5;3773;342
jrnl-org/jrnl;47;4536;6424
karlproject/karl;22;4770;48
matrix-org/synapse;527;3671;11782
mirnylab/cooler;44;3151;200
mozilla/amo-validator;12;4926;61
pyecharts/pyecharts;5;2625;14733
whamcloud/integrated-manager-for-lustre;35;2684;71
CAMBI-tech/BciPy;9;2284;124
JonathanVusich/pcpartpicker;15;2127;84
Netflix/consoleme;27;1751;3102
delira-dev/delira;8;2088;220
jgrss/geowombat;57;2001;183
josiah-wolf-oberholtzer/supriya;38;3829;246
libAtoms/matscipy;22;3691;171
open-mmlab/mmcv;62;2199;5800
