repo_name;release_count;age;star_count
BulletTrainHQ/bullet-train-js-client;69;2277;59
buzz/newsdash;13;1823;57
c8r/markdown;118;2439;17325
calesce/redux-slider-monitor;6;3314;207
callemall/material-ui;489;3663;93074
callmecavs/outset;19;3636;170
callstack-io/linaria;559;2654;11467
camunda/camunda-modeler;118;3267;1483
CancerCollaboratory/billing;5;2912;16
canonical-web-and-design/maas-ui;25;1906;48
carbon-design-system/carbon-addons-iot-react;1532;2086;95
cdimascio/generator-express-no-stress;60;2770;593
cds-snc/report-a-cybercrime;8;2135;29
cedardevs/onestop;50;2973;43
ceolter/ag-grid;222;3536;12438
cgrossde/Pullover;17;3558;382
ChainSafeSystems/lodestar_chain;160;2259;1132
ChainShot/Builder;55;2120;41
chakra-ui/chakra-ui;3337;1838;37365
chanzuckerberg/cellxgene;46;2521;612
cheton/cnc;190;3295;2264
Chocobozzz/PeerTube;125;3225;12872
chriskalmar/shyft;15;2206;52
CMSgov/design-system;205;2759;310
code-dot-org/code-dot-org;2126;3630;830
codejamninja/reaction;7;2410;25
CodingZeal/generator-react-zeal;7;2828;14
compulim/web-speech-cognitive-services;16;2253;61
ConsenSys/cakeshop;6;2815;505
ConsenSys/truffle;280;3348;14020
contentful/forma-36;6973;2140;331
conventional-changelog/commitlint;160;3120;16566
conversejs/converse.js;100;4421;3058
coveo/react-vapor;816;2905;59
Cox-Automotive/ALKS-CLI;88;2973;40
Cretezy/noderize;24;2393;422
Cristian006/frameless-titlebar;5;2294;216
cryptape/nervos.js;20;2223;22
cubic-js/cubic;124;2682;16
cyclejs/core;60;3582;10247
danactive/history;63;4499;38
danielcondemarin/serverless-next.js;577;2016;4426
DanielSchaffer/webpack-babel-multi-target-plugin;36;2449;153
David-Desmaisons/Neutronium;19;3334;1344
derzunov/redux-react-i18n;11;2857;64
developit/htm;16;2221;8666
developit/preact;209;3274;36490
developit/preact-cli;51;2658;4676
DevExpress/DevExtreme;244;2690;1799
DevExpress/devextreme-cli;13;2204;49
DevExpress/devextreme-reactive;105;2721;2073
dfahlander/Dexie.js;129;3836;11316
dialogflow/dialogflow-nodejs-client-v2;90;2500;797
dipterix/threeBrain;12;2003;40
D-Pow/MockRequests;13;1825;37
draft-js-plugins/draft-js-plugins;210;3106;4088
driftyco/ionic;878;4025;50841
driftyco/ionic-cli;53;3934;1993
dsebastien/modernWebDevGenerator;20;3266;72
dvajs/dva;35;2987;16240
eddyerburgh/jest-vue;79;2552;744
egoist/poi;98;3051;5226
elastic/kibana;154;4232;19577
elastic-coders/serverless-webpack;58;2933;1720
electric-eloquence/fepper;55;3277;12
electron-userland/electron-forge;44;2884;6394
elyra-ai/canvas;110;1771;38
embark-framework/embark;76;3384;3789
embarklabs/subspace;7;1952;73
ember-cli/ember-cli;308;3951;3263
emotion-js/emotion;554;2650;17383
enactjs/enact;146;2911;310
equinor/design-system;167;2029;119
Esri/arcgis-js-cli;36;2303;139
ETCDEVTeam/emerald-wallet;43;2744;211
EthWorks/UniversalLoginSDK;5;2236;294
ExactTarget/fuelux;54;4436;5202
facebook/create-react-app;83;2964;102458
facebook/Docusaurus;144;2626;55100
facebook/draft-js;26;3113;22564
facebook/jest;202;3914;44010
facebook/nuclide;114;3467;7786
facebook/react;101;4114;226769
facebook/regenerator;37;3980;3819
facebook/relay;83;3305;18343
facebook/Sonar;321;2330;13307
facebook-atom/atom-ide-ui;29;2710;936
farism/stylegator;36;2456;11
featherity/featherity;510;1542;10120
feathersjs/feathers;98;4696;15019
FelixHenninger/lab.js;28;3186;244
FelixRilling/yugioh-deck-tool;23;2814;48
fgpv-vpgf/fgpv-vpgf;85;3381;45
Financial-Times/x-dash;290;2373;38
firebase/firebase-js-sdk;19;2682;4804
FirebaseExtended/reactfire;42;3775;3515
fkling/astexplorer;17;3712;6095
flarum/core;45;3539;6262
flarum/flarum-ext-tags;31;3401;35
flow-typed/flow-typed;18;3267;3765
formatjs/react-intl;2770;3779;14244
FormidableLabs/react-swipeable;24;3608;1984
FortAwesome/react-fontawesome;23;2548;3666
frctl/fractal;169;3340;2109
FredericHeem/starhackit;17;3242;1278
frintjs/frint;82;2975;753
frouriojs/create-frourio-app;106;1551;45
fusionjs/fusionjs;127;2493;1537
gaearon/react-dnd;138;3601;20854
gaearon/react-hot-loader;158;3699;12256
gaearon/redux-devtools;107;3342;13978
gatsbyjs/gatsby;134;3386;55196
gergelyszabo94/csgo-trader-extension;72;2066;211
GertjanReynaert/react-intl-translations-manager;18;3154;297
getsentry/raven-js;526;4592;7839
GladysAssistant/Gladys;137;3372;2559
GMartigny/pencil.js;43;2384;271
googleapis/nodejs-bigquery;87;2590;465
googleapis/nodejs-bigtable;81;2590;97
googleapis/nodejs-datastore;90;2589;215
googleapis/nodejs-dlp;60;2589;59
googleapis/nodejs-error-reporting;29;2589;88
GoogleChrome/workbox;84;3068;12255
GoogleWebComponents/model-viewer;56;2141;6802
gpbl/react-day-picker;54;3531;5980
grand-stack/grand-stack-starter;25;2501;504
graphql/graphiql;926;3305;15918
grindjs/framework;18;3070;35
grpc/grpc-node;268;2583;4425
gruelbox/orko;13;2144;179
gsoft-inc/craco;24;2144;7417
guardicore/monkey;19;3286;6610
guigrpa/docx-templates;31;2816;875
gxchain/gxb-light;7;2591;47
hainproject/hain;23;3091;3199
haiwen/seahub;335;4313;524
hammerframework/hammer;291;1907;17013
hashicorp/vault;146;3472;30788
hasura/graphql-engine;271;2263;31012
heetch/flamingo;72;2144;36
helium/console;62;2364;104
hensm/fx_cast;12;2273;1867
hpcc-systems/Visualization;208;3690;90
hshoff/vx;105;2723;19278
hslayers/hslayers-ng;125;3151;34
hypery2k/galenframework-cli;34;3414;17
hyva-themes/magento2-hyva-checkout;18;1415;178
ianstormtaylor/slate;174;2993;29529
ibissource/frank-flow;132;1745;30
IBM/carbon-components;953;2725;7706
ice-lab/ice-scripts;13;1892;45
iCHEF/gypcrete;59;2742;30
identity-box/identity-box;18;1820;19
illright/attractions;24;1593;1030
infernojs/inferno;187;3495;16046
infinitered/gluegun;93;2829;2941
influxdata/chronograf;103;2925;1499
insideout10/wordlift-plugin;10;4447;101
instructure/instructure-ui;105;3184;435
iotaledger/trinity-wallet;64;2289;470
ipfs-inactive/js-ipfs-http-client;138;3636;1050
ipython/ipywidgets;20;3421;3126
IsraelHikingMap/Site;74;3336;79
istanbuljs/istanbuljs;40;2757;992
iverberk/nomad-ui;66;2957;1230
jadu/pulsar;144;3156;24
jamesplease/redux-resource;47;2635;237
jaredpalmer/razzle;253;3122;11098
Jaxelr/VueSimpleTemplate;17;2555;34
jbolda/covector;101;1562;69
jcmcneal/react-step-wizard;13;2815;580
jeanpan/react-native-camera-roll-picker;5;3043;422
jhipster/generator-jhipster;38;3964;21423
jkcfg/jk;16;2143;404
jlongster/prettier;117;2829;48984
joe-sky/nornj;29;3145;101
JoinColony/colonyNetwork;24;2679;438
jquense/react-widgets;27;3684;2339
js-accounts/accounts;99;2882;1494
js-joda/js-joda;32;3239;1612
jungsoft/apollo-sentry-helper;5;1497;17
jwkvam/bowtie;26;3054;765
jxnblk/styled-system;6;2631;7840
jxom/bumbag;93;1501;1006
kadirahq/react-storybook;1420;3085;83857
Kaetram/Kaetram-Open;5;1919;526
kba/hocrjs;16;2887;119
keep-network/keep-ecdsa;39;1948;60
keplergl/kepler.gl;22;2372;10227
keyboardio/Chrysalis;71;2178;496
keystonejs/keystone;64;2337;9099
klaytn/caver-js;127;1905;114
klis87/redux-requests;97;2543;367
krausest/js-framework-benchmark;30;3185;6678
kubeflow/katib;16;2339;1479
legumeinfo/lis_context_viewer;16;3292;40
less/less.js;35;5303;16992
lidaof/eg-react;6;2590;66
liferay/liferay-frontend-projects;308;1434;67
linode/manager;337;3026;689
LiskHQ/lisk;140;3130;2721
LiteFarmOrg/LiteFarm;24;1504;115
livepeer/livepeerjs;676;750;64
LogRocket/redux-logger;42;3304;5759
lowdefy/lowdefy;189;1427;2627
lukeed/klona;8;1693;1582
lukeed/pwa;13;2260;3124
ly525/luban-h5;25;1909;6075
maidsafe/safe_examples;29;3284;82
MailOnline/mol-video-ad-sdk;18;2569;17
MainframeHQ/erebos;24;2480;48
MarkPieszak/AspNETCore-Vue-starter;6;2808;1216
marmelab/react-admin;357;2968;24687
material-components/material-components-web;11;2823;17128
materialsproject/MPContribs;78;3548;34
maticzav/emma-cli;23;2367;1229
MayGo/tockler;130;3104;871
mccxiv/tc;79;3427;186
mckenziearts/shopper;8;2057;247
medic/cht-core;123;4682;438
meilisearch/instant-meilisearch;78;1498;465
mejedi/luajit.me;11;2918;147
meltyshev/planka;125;1824;7611
messageformat/messageformat;37;4599;1677
metonym/svelte-highlight;54;1753;250
microlinkhq/microlinkjs;26;2461;577
MicroPad/MicroPad-Core;78;3445;234
Microsoft/AdaptiveCards;60;2819;1740
Microsoft/botbuilder-js;37;2421;676
microsoft/botframework-cli;10;1931;178
MiguelCastillo/bit-bundler;14;3209;13
milesj/beemo;305;2494;143
minhuyen/cookiecutter-expressjs;19;2212;57
mistercrunch/panoramix;205;3326;61424
mjmlio/mjml;101;3135;16883
mlaursen/react-md;177;3201;2334
momentumft/navy;17;3057;35
mongodb-js/compass;445;3467;1104
MoOx/phenomic;96;3284;3218
mozilla/voice-web;157;2672;3283
mullvad/mullvadvpn-app;152;2444;4778
Musare/MusareNode;33;2952;14
MuYunyun/create-react-doc;5;1551;178
mwaylabs/generator-m-ionic;22;3600;672
n6g7/redux-saga-firebase;28;2726;284
namics/generator-nitro;132;3537;71
nasa/cumulus;161;2616;254
NativeScript/nativescript-angular;18;3388;1213
navikt/nav-frontend-moduler;762;2653;156
nearform/graphql-hooks;319;2028;1879
necolas/react-native-web;21;3368;21548
NERC-CEH/datalab;8;2682;21
netlify/netlify-cms;168;3508;17764
networknt/react-schema-form;42;3278;358
NewDadaFE/react-impression;47;3038;146
nextcloud/tasks;30;2869;565
ngageoint/mage-server;86;3273;86
nhn/tui.editor;134;3320;17053
nhn/tui.grid;130;3381;2412
nicoespeon/gitgraph.js;36;4032;3015
ninjadev/nin;22;3993;341
nlp-compromise/compromise;71;4803;11378
nodefony/nodefony;38;2696;19
nodejs/node;404;3563;106232
nol13/fuzzball.js;22;2814;511
nomiclabs/buidler;283;2327;7136
nossas/bonde-client;12;3344;40
nozzle/react-static;5;2544;10299
nteract/nteract;66;3361;6194
nuxt/nuxt.js;224;2863;53848
NYTimes/kyt;823;3008;1920
okfn/recline;52;4701;2189
okta/okta-oidc-js;76;2595;393
oliver-moran/jimp;111;3636;13711
oncletom/nodebook;33;3919;305
OnsenUI/OnsenUI;70;4004;8815
ooade/pimg;8;2437;99
OpenEx-Platform/openex;18;2906;246
OpenZeppelin/openzeppelin-sdk;27;2219;433
openzipkin/zipkin-js;19;3031;564
optimizely/javascript-sdk;102;2954;76
oracle/netsuite-suitecloud-node-cli;30;1744;198
ovh/manager;1206;2129;207
owncloud/calendar;20;3281;121
PackageFactory/PackageFactory.Guevara;236;3189;264
pagermon/pagermon;32;2640;259
palmerhq/backpack;19;2793;4438
parcel-bundler/parcel;35;2578;43357
Parrit/Parrit;8;3179;69
pascalopitz/sonos-controller-for-chrome;69;3526;549
pattern-lab/patternlab-node;124;3960;2050
patternplate/patternplate;38;3300;305
PaulLeCam/react-leaflet;126;3678;5079
PeculiarVentures/GammaCV;15;2252;176
petecoop/generator-express;23;4147;815
petehunt/jsxstyle;5;3416;2113
pH200/cycle-react;5;3401;371
phenyl-js/phenyl;10;2572;58
pikapkg/builders;7;2054;162
pikapkg/snowpack;83;2010;19485
pinterest/gestalt;2442;2384;4232
Pivotal/postfacto;31;2583;7
pivotal-cf/pivotal-ui;22;3757;637
plouc/nivo;50;3056;13043
pmmmwh/react-refresh-webpack-plugin;29;1811;3129
poppinss/indicative;11;3408;417
pouchdb/pouchdb;69;5193;16674
PrairieLearn/PrairieLearn;438;3751;350
preconstruct/preconstruct;107;2122;1160
prescottprue/fireadmin;21;3496;238
prescottprue/redux-firebasev3;9;2957;36
Prettyhtml/prettyhtml;22;2264;280
priceline/design-system;1157;2598;722
probot/smee;12;2499;419
ProjectEvergreen/greenwood;138;1988;96
projectfluent/fluent.js;100;2764;921
psolom/RichFilemanager;32;3029;904
ptarmiganlabs/butler-sos;76;2711;26
raxjs/rax-app;39;1821;113
react-cosmos/react-cosmos;82;3857;8250
reactjs/react-rails;23;4052;6741
reactjs/react-redux;132;3336;23342
reactjs/react-router-redux;18;3219;7816
reactjs/redux;78;3378;60754
react-materialize/react-materialize;29;3555;1384
react-monaco-editor/react-monaco-editor;7;2914;3784
react-native-community/cli;181;2163;2323
ReactTraining/react-router;277;3756;52707
redux-saga/redux-saga;72;3195;22532
responsively-org/responsively-app;59;1845;22251
restify/node-restify;13;4873;10703
rickbeerendonk/react-examples;15;3748;20
rickbergfalk/sqlpad;66;3744;5027
ringcentral/ringcentral-js-widgets;228;3036;39
RobbinBaauw/CSHub;6;2162;29
RocketChat/Rocket.Chat.Fuselage;99;1925;108
romgain/jest-websocket-mock;14;2098;174
root-gg/wigo;25;3156;40
rstoenescu/quasar-framework;923;3250;25673
sagefy/sagefy;10;4146;109
SamHH/bukubrow;8;2744;310
samtecspg/articulate;35;2499;598
SamVerschueren/tsd-typescript;8;1367;25
sanity-io/sanity;506;2779;5133
SAP/service-fabrik-broker;41;2899;41
SAP/ui5-webcomponents;247;2043;1495
sapegin/react-styleguidist;293;3278;10822
ScottLogic/StockFlux;21;3192;123
Sebobo/Shel.Neos.YoastSeo;23;2443;23
Semantic-Org/Semantic-UI;154;4159;51097
sendgrid/sendgrid-nodejs;97;4618;2977
ShabadOS/desktop;52;2714;19
shakacode/bootstrap-loader;10;3213;1025
shesek/spark-wallet;29;2200;343
SignalK/signalk-server-node;138;3701;303
silk-framework/silk;13;3849;240
sketch-pm/skpm;23;2835;959
sky-uk/api-explorer;12;3228;45
smartcontractkit/external-adapters-js;150;1588;268
smooth-code/smooth.js;61;2061;26
sockethub/sockethub;11;4273;381
SoftwareAteliers/asp-net-core-vue-starter;27;2196;557
software-mansion/react-native-gesture-handler;96;2862;6006
Soluto/tweek;19;3114;349
SpareBank1/designsystem;4164;2375;101
spring-cloud/spring-cloud-dataflow-ui;26;3218;210
statsbotco/cubejs-client;1028;2173;17645
stoikerty/dev-toolkit;34;3499;133
Strapi/strapi;387;3255;62509
styled-components/styled-components;169;2934;40352
supabase/monorepo;15;1782;70906
system-ui/theme-ui;168;1973;5275
tableau/extensions-api;12;2633;267
tamb/domponent;22;1874;75
Tencent/wepy;8;2844;22487
terascope/teraslice;201;3325;50
TerriaJS/magda;190;2927;500
testingisdocumenting/znai;40;2812;245
textlint/textlint;687;3534;2814
the-front/angularjs-ee-boilerplate;22;3926;45
theKashey/react-hot-component-loader;14;2596;662
thm-projects/arsnova.click;14;3065;27
tidusjar/PlexRequests.Net;433;3107;3678
tivac/modular-css;163;3226;288
Tonejs/Tone.js;15;3823;13356
transloadit/uppy;116;3208;28861
trendscenter/coinstac;66;3107;42
TrueCar/gluestick;193;3186;361
tsoporan/fittrak;6;3031;21
tuateam/tua-mp;14;2329;134
Turfjs/turf;13;3982;9162
TypeStrong/ts-loader;162;3507;3440
uber/react-map-gl;164;3247;7758
uber-common/react-vis;59;3109;8711
ubyssey/dispatch;128;3553;68
ucfopen/Obojobo;43;2185;69
uclapi/uclapi;27;2809;43
uidu-org/guidu;8358;2119;21
ujjwalguptaofficial/sqlweb;11;2454;54
UltimateHackingKeyboard/agent;74;3151;696
unlock-protocol/unlock;32;2462;828
uptick/react-keyed-file-browser;36;2836;299
Urigo/angular-meteor;80;3665;2356
usehenri/henri;40;3150;51
vercel/next.js;2659;2883;124409
veritone/veritone-sdk;124;2542;19
vfeskov/WinABeer;9;2472;390
virtool/virtool;485;2966;42
VisualComposer/builder;67;2007;85
vivliostyle/vivliostyle.js;134;3439;593
vreaxe/travel-expense-manager;13;1944;23
VREMSoftwareDevelopment/bwmon;12;3899;30
vuejs/vue-cli;177;3167;29753
vuejs/vue-devtools;89;3621;24591
vuejs/vuepress;22;2337;22471
wduckitt/React-Automation-Studio;25;1787;62
webdriverio/webdriverio;484;4747;8949
wifi-tally/wifi-tally;16;1631;87
wojtekmaj/react-daterange-picker;37;2398;518
wojtekmaj/react-datetimerange-picker;40;2203;169
wojtekmaj/react-timerange-picker;33;2174;87
WWAWing/WWAWing;201;3398;38
xiaoxinghu/orgajs;293;2413;613
xing/hops;120;3064;168
xrchat/xrchat-server;132;1609;705
yduman/retro;12;2297;35
Yoast/YoastSEO.js;79;3446;403
yyc-git/Wonder.js;59;3453;322
zeebe-io/zeebe-modeler;21;2532;220
ZeeCoder/container-query;39;2768;139
Zenika/immutadot;13;2686;177
zensoftio/ZenKicker;6;2023;54
Zero-to-Heroes/firestone;577;2497;96
ZhonganTechENG/zarm;83;2968;1706
zusam/zusam;19;2460;182
