repo_name;release_count;age
EthWorks/UniversalLoginSDK;5;2236
ExactTarget/fuelux;54;4436
facebook/create-react-app;83;2964
facebook/Docusaurus;144;2626
facebook/draft-js;26;3113
facebook/jest;202;3914
facebook/nuclide;114;3467
facebook/react;101;4114
facebook/regenerator;37;3980
facebook/relay;83;3305
facebook/Sonar;321;2330
facebook-atom/atom-ide-ui;29;2710
farism/stylegator;36;2456
featherity/featherity;510;1542
feathersjs/feathers;98;4696
FelixHenninger/lab.js;28;3186
FelixRilling/yugioh-deck-tool;23;2814
fgpv-vpgf/fgpv-vpgf;85;3381
Financial-Times/x-dash;290;2373
firebase/firebase-js-sdk;19;2682
FirebaseExtended/reactfire;42;3775
fkling/astexplorer;17;3712
flarum/core;45;3539
flarum/flarum-ext-tags;31;3401
flow-typed/flow-typed;18;3267
formatjs/react-intl;2770;3779
FormidableLabs/react-swipeable;24;3608
FortAwesome/react-fontawesome;23;2548
frctl/fractal;169;3340
FredericHeem/starhackit;17;3242
frintjs/frint;82;2975
frouriojs/create-frourio-app;106;1551
fusionjs/fusionjs;127;2493
gaearon/react-dnd;138;3601
gaearon/react-hot-loader;158;3699
gaearon/redux-devtools;107;3342
gatsbyjs/gatsby;134;3386
gergelyszabo94/csgo-trader-extension;72;2066
GertjanReynaert/react-intl-translations-manager;18;3154
getsentry/raven-js;526;4592
GladysAssistant/Gladys;137;3372
GMartigny/pencil.js;43;2384
googleapis/nodejs-bigquery;87;2590
googleapis/nodejs-bigtable;81;2590
googleapis/nodejs-datastore;90;2589
googleapis/nodejs-dlp;60;2589
googleapis/nodejs-error-reporting;29;2589
GoogleChrome/workbox;84;3068
GoogleWebComponents/model-viewer;56;2141
gpbl/react-day-picker;54;3531
grand-stack/grand-stack-starter;25;2501
graphql/graphiql;926;3305
grindjs/framework;18;3070
grpc/grpc-node;268;2583
gruelbox/orko;13;2144
gsoft-inc/craco;24;2144
guardicore/monkey;19;3286
guigrpa/docx-templates;31;2816
gxchain/gxb-light;7;2591
hainproject/hain;23;3091
haiwen/seahub;335;4313
hammerframework/hammer;291;1907
hashicorp/vault;146;3472
hasura/graphql-engine;271;2263
heetch/flamingo;72;2144
helium/console;62;2364
hensm/fx_cast;12;2273
hpcc-systems/Visualization;208;3690
hshoff/vx;105;2723
hslayers/hslayers-ng;125;3151
hypery2k/galenframework-cli;34;3414
hyva-themes/magento2-hyva-checkout;18;1415
ianstormtaylor/slate;174;2993
ibissource/frank-flow;132;1745
IBM/carbon-components;953;2725
ice-lab/ice-scripts;13;1892
iCHEF/gypcrete;59;2742
identity-box/identity-box;18;1820
illright/attractions;24;1593
infernojs/inferno;187;3495
infinitered/gluegun;93;2829
influxdata/chronograf;103;2925
insideout10/wordlift-plugin;10;4447
instructure/instructure-ui;105;3184
iotaledger/trinity-wallet;64;2289
ipfs-inactive/js-ipfs-http-client;138;3636
ipython/ipywidgets;20;3421
IsraelHikingMap/Site;74;3336
istanbuljs/istanbuljs;40;2757
iverberk/nomad-ui;66;2957
jadu/pulsar;144;3156
jamesplease/redux-resource;47;2635
jaredpalmer/razzle;253;3122
Jaxelr/VueSimpleTemplate;17;2555
jbolda/covector;101;1562
jcmcneal/react-step-wizard;13;2815
jeanpan/react-native-camera-roll-picker;5;3043
jhipster/generator-jhipster;38;3964
jkcfg/jk;16;2143
jlongster/prettier;117;2829
joe-sky/nornj;29;3145
JoinColony/colonyNetwork;24;2679
jquense/react-widgets;27;3684
js-accounts/accounts;99;2882
js-joda/js-joda;32;3239
jungsoft/apollo-sentry-helper;5;1497
jwkvam/bowtie;26;3054
jxnblk/styled-system;6;2631
jxom/bumbag;93;1501
kadirahq/react-storybook;1420;3085
Kaetram/Kaetram-Open;5;1919
kba/hocrjs;16;2887
keep-network/keep-ecdsa;39;1948
keplergl/kepler.gl;22;2372
keyboardio/Chrysalis;71;2178
keystonejs/keystone;64;2337
klaytn/caver-js;127;1905
klis87/redux-requests;97;2543
krausest/js-framework-benchmark;30;3185
kubeflow/katib;16;2339
legumeinfo/lis_context_viewer;16;3292
less/less.js;35;5303
lidaof/eg-react;6;2590
liferay/liferay-frontend-projects;308;1434
linode/manager;337;3026
LiskHQ/lisk;140;3130
LiteFarmOrg/LiteFarm;24;1504
livepeer/livepeerjs;676;750
LogRocket/redux-logger;42;3304
lowdefy/lowdefy;189;1427
lukeed/klona;8;1693
lukeed/pwa;13;2260
ly525/luban-h5;25;1909
maidsafe/safe_examples;29;3284
MailOnline/mol-video-ad-sdk;18;2569
MainframeHQ/erebos;24;2480
MarkPieszak/AspNETCore-Vue-starter;6;2808
marmelab/react-admin;357;2968
material-components/material-components-web;11;2823
materialsproject/MPContribs;78;3548
maticzav/emma-cli;23;2367
MayGo/tockler;130;3104
mccxiv/tc;79;3427
mckenziearts/shopper;8;2057
medic/cht-core;123;4682
meilisearch/instant-meilisearch;78;1498
mejedi/luajit.me;11;2918
meltyshev/planka;125;1824
messageformat/messageformat;37;4599
metonym/svelte-highlight;54;1753
microlinkhq/microlinkjs;26;2461
MicroPad/MicroPad-Core;78;3445
Microsoft/AdaptiveCards;60;2819
Microsoft/botbuilder-js;37;2421
microsoft/botframework-cli;10;1931
MiguelCastillo/bit-bundler;14;3209
milesj/beemo;305;2494
minhuyen/cookiecutter-expressjs;19;2212
mistercrunch/panoramix;205;3326
mjmlio/mjml;101;3135
mlaursen/react-md;177;3201
momentumft/navy;17;3057
mongodb-js/compass;445;3467
MoOx/phenomic;96;3284
mozilla/voice-web;157;2672
mullvad/mullvadvpn-app;152;2444
Musare/MusareNode;33;2952
MuYunyun/create-react-doc;5;1551
mwaylabs/generator-m-ionic;22;3600
n6g7/redux-saga-firebase;28;2726
namics/generator-nitro;132;3537
nasa/cumulus;161;2616
NativeScript/nativescript-angular;18;3388
navikt/nav-frontend-moduler;762;2653
nearform/graphql-hooks;319;2028
necolas/react-native-web;21;3368
NERC-CEH/datalab;8;2682
netlify/netlify-cms;168;3508
networknt/react-schema-form;42;3278
NewDadaFE/react-impression;47;3038
nextcloud/tasks;30;2869
ngageoint/mage-server;86;3273
nhn/tui.editor;134;3320
nhn/tui.grid;130;3381
nicoespeon/gitgraph.js;36;4032
ninjadev/nin;22;3993
nlp-compromise/compromise;71;4803
nodefony/nodefony;38;2696
nodejs/node;404;3563
nol13/fuzzball.js;22;2814
nomiclabs/buidler;283;2327
nossas/bonde-client;12;3344
nozzle/react-static;5;2544
nteract/nteract;66;3361
nuxt/nuxt.js;224;2863
NYTimes/kyt;823;3008
okfn/recline;52;4701
okta/okta-oidc-js;76;2595
oliver-moran/jimp;111;3636
oncletom/nodebook;33;3919
OnsenUI/OnsenUI;70;4004
ooade/pimg;8;2437
OpenEx-Platform/openex;18;2906
OpenZeppelin/openzeppelin-sdk;27;2219
openzipkin/zipkin-js;19;3031
optimizely/javascript-sdk;102;2954
oracle/netsuite-suitecloud-node-cli;30;1744
ovh/manager;1206;2129
owncloud/calendar;20;3281
PackageFactory/PackageFactory.Guevara;236;3189
pagermon/pagermon;32;2640
palmerhq/backpack;19;2793
parcel-bundler/parcel;35;2578
Parrit/Parrit;8;3179
pascalopitz/sonos-controller-for-chrome;69;3526
pattern-lab/patternlab-node;124;3960
patternplate/patternplate;38;3300
PaulLeCam/react-leaflet;126;3678
PeculiarVentures/GammaCV;15;2252
petecoop/generator-express;23;4147
petehunt/jsxstyle;5;3416
pH200/cycle-react;5;3401
phenyl-js/phenyl;10;2572
pikapkg/builders;7;2054
pikapkg/snowpack;83;2010
pinterest/gestalt;2442;2384
Pivotal/postfacto;31;2583
pivotal-cf/pivotal-ui;22;3757
plouc/nivo;50;3056
pmmmwh/react-refresh-webpack-plugin;29;1811
poppinss/indicative;11;3408
pouchdb/pouchdb;69;5193
PrairieLearn/PrairieLearn;438;3751
preconstruct/preconstruct;107;2122
prescottprue/fireadmin;21;3496
prescottprue/redux-firebasev3;9;2957
Prettyhtml/prettyhtml;22;2264
priceline/design-system;1157;2598
probot/smee;12;2499
ProjectEvergreen/greenwood;138;1988
projectfluent/fluent.js;100;2764
psolom/RichFilemanager;32;3029
ptarmiganlabs/butler-sos;76;2711
raxjs/rax-app;39;1821
react-cosmos/react-cosmos;82;3857
reactjs/react-rails;23;4052
reactjs/react-redux;132;3336
reactjs/react-router-redux;18;3219
reactjs/redux;78;3378
react-materialize/react-materialize;29;3555
react-monaco-editor/react-monaco-editor;7;2914
react-native-community/cli;181;2163
ReactTraining/react-router;277;3756
redux-saga/redux-saga;72;3195
responsively-org/responsively-app;59;1845
restify/node-restify;13;4873
rickbeerendonk/react-examples;15;3748
rickbergfalk/sqlpad;66;3744
ringcentral/ringcentral-js-widgets;228;3036
RobbinBaauw/CSHub;6;2162
RocketChat/Rocket.Chat.Fuselage;99;1925
romgain/jest-websocket-mock;14;2098
root-gg/wigo;25;3156
rstoenescu/quasar-framework;923;3250
sagefy/sagefy;10;4146
SamHH/bukubrow;8;2744
samtecspg/articulate;35;2499
SamVerschueren/tsd-typescript;8;1367
sanity-io/sanity;506;2779
SAP/service-fabrik-broker;41;2899
SAP/ui5-webcomponents;247;2043
sapegin/react-styleguidist;293;3278
ScottLogic/StockFlux;21;3192
Sebobo/Shel.Neos.YoastSeo;23;2443
Semantic-Org/Semantic-UI;154;4159
sendgrid/sendgrid-nodejs;97;4618
ShabadOS/desktop;52;2714
shakacode/bootstrap-loader;10;3213
shesek/spark-wallet;29;2200
SignalK/signalk-server-node;138;3701
silk-framework/silk;13;3849
sketch-pm/skpm;23;2835
sky-uk/api-explorer;12;3228
smartcontractkit/external-adapters-js;150;1588
smooth-code/smooth.js;61;2061
sockethub/sockethub;11;4273
SoftwareAteliers/asp-net-core-vue-starter;27;2196
software-mansion/react-native-gesture-handler;96;2862
Soluto/tweek;19;3114
SpareBank1/designsystem;4164;2375
spring-cloud/spring-cloud-dataflow-ui;26;3218
statsbotco/cubejs-client;1028;2173
stoikerty/dev-toolkit;34;3499
Strapi/strapi;387;3255
styled-components/styled-components;169;2934
supabase/monorepo;15;1782
system-ui/theme-ui;168;1973
tableau/extensions-api;12;2633
tamb/domponent;22;1874
Tencent/wepy;8;2844
terascope/teraslice;201;3325
TerriaJS/magda;190;2927
testingisdocumenting/znai;40;2812
textlint/textlint;687;3534
the-front/angularjs-ee-boilerplate;22;3926
theKashey/react-hot-component-loader;14;2596
thm-projects/arsnova.click;14;3065
tidusjar/PlexRequests.Net;433;3107
tivac/modular-css;163;3226
Tonejs/Tone.js;15;3823
transloadit/uppy;116;3208
trendscenter/coinstac;66;3107
TrueCar/gluestick;193;3186
tsoporan/fittrak;6;3031
tuateam/tua-mp;14;2329
Turfjs/turf;13;3982
TypeStrong/ts-loader;162;3507
uber/react-map-gl;164;3247
uber-common/react-vis;59;3109
ubyssey/dispatch;128;3553
ucfopen/Obojobo;43;2185
uclapi/uclapi;27;2809
uidu-org/guidu;8358;2119
ujjwalguptaofficial/sqlweb;11;2454
UltimateHackingKeyboard/agent;74;3151
unlock-protocol/unlock;32;2462
uptick/react-keyed-file-browser;36;2836
Urigo/angular-meteor;80;3665
usehenri/henri;40;3150
vercel/next.js;2659;2883
veritone/veritone-sdk;124;2542
vfeskov/WinABeer;9;2472
virtool/virtool;485;2966
VisualComposer/builder;67;2007
vivliostyle/vivliostyle.js;134;3439
vreaxe/travel-expense-manager;13;1944
VREMSoftwareDevelopment/bwmon;12;3899
vuejs/vue-cli;177;3167
vuejs/vue-devtools;89;3621
vuejs/vuepress;22;2337
wduckitt/React-Automation-Studio;25;1787
webdriverio/webdriverio;484;4747
wifi-tally/wifi-tally;16;1631
wojtekmaj/react-daterange-picker;37;2398
wojtekmaj/react-datetimerange-picker;40;2203
wojtekmaj/react-timerange-picker;33;2174
WWAWing/WWAWing;201;3398
xiaoxinghu/orgajs;293;2413
xing/hops;120;3064
xrchat/xrchat-server;132;1609
yduman/retro;12;2297
Yoast/YoastSEO.js;79;3446
yyc-git/Wonder.js;59;3453
zeebe-io/zeebe-modeler;21;2532
ZeeCoder/container-query;39;2768
Zenika/immutadot;13;2686
zensoftio/ZenKicker;6;2023
Zero-to-Heroes/firestone;577;2497
ZhonganTechENG/zarm;83;2968
zusam/zusam;19;2460
