repo_name;release_count;age;star_count;latest_commit_date
EUDAT-B2SHARE/b2share;56;4229;35;2024-08-01 14:49:44+00:00
JARR-aggregator/JARR;18;3922;419;2024-08-09 21:49:34+00:00
JackStouffer/Flask-Foundation;5;4001;1288;2021-08-14 23:17:59+00:00
MongoEngine/flask-mongoengine;10;4489;841;2022-08-16 14:02:03+00:00
NYPL-Simplified/circulation;74;3555;19;2024-07-29 15:00:48+00:00
Netflix/security_monkey;18;3715;4349;2021-02-11 02:32:12+00:00
OctoPrint/OctoPrint;145;4259;8215;2024-08-19 11:32:26+00:00
Pegase745/sqlalchemy-datatables;12;4040;159;2020-11-26 08:42:51+00:00
StartupsPoleEmploi/labonneboite;5;2562;42;2023-11-10 10:34:28+00:00
alephdata/aleph;29;3654;1996;2024-08-20 22:45:00+00:00
all-of-us/raw-data-repository;461;2933;40;2024-08-29 14:58:39+00:00
apache/airflow;88;3426;36042;2024-08-29 18:00:30+00:00
betterlife/betterlifepsi;9;3359;2;2021-06-24 02:21:23+00:00
blockstack/blockstack-core;118;3628;3006;2024-08-20 16:15:34+00:00
csm-aut/csm;7;3481;11;2018-06-25 19:01:11+00:00
dpgaspar/Flask-AppBuilder;40;3945;4616;2024-08-21 18:00:21+00:00
etalab/udata;99;3779;238;2024-08-28 16:42:56+00:00
fedora-infra/anitya;32;3926;243;2024-08-29 16:54:32+00:00
flask-admin/flask-admin;17;4546;5729;2024-08-11 18:12:29+00:00
geopython/GeoHealthCheck;9;3642;84;2024-04-09 10:53:31+00:00
getredash/redash;98;3958;25856;2024-08-26 12:57:47+00:00
getslash/backslash;22;3655;16;2022-06-17 05:06:00+00:00
jfinkels/flask-restless;25;4565;1021;2020-05-16 01:49:16+00:00
levlaz/braindump;10;3202;526;2017-01-18 07:21:16+00:00
lyft/confidant;10;3275;1837;2024-08-21 19:06:51+00:00
nsacyber/WALKOFF;40;3004;1199;2020-09-22 10:43:41+00:00
osmlab/maproulette;5;4199;47;2022-08-15 00:24:44+00:00
raymondEhlers/OVERWATCH;8;3135;10;2019-08-15 20:00:40+00:00
realpython/cookiecutter-flask-skeleton;12;3508;435;2020-02-29 15:09:38+00:00
sagemath/sagenb;10;4635;117;2020-06-17 21:52:48+00:00
seiferta/eMonitor;6;3828;21;2018-04-05 11:30:36+00:00
sepro/MemoBoard;15;3107;35;2023-01-30 16:07:01+00:00
spiral-project/ihatemoney;13;4921;1162;2024-07-08 17:56:00+00:00
tetherless-world/whyis;5;3119;52;2024-08-27 17:08:10+00:00
voxpupuli/puppetboard;61;4049;712;2024-08-09 08:24:08+00:00
Clarifai/clarifai-python;34;3744;24;2024-08-28 13:37:25+00:00
Cornices/cornice;36;4705;382;2024-04-04 09:58:18+00:00
GeotrekCE/Geotrek-admin;351;4133;130;2024-08-29 07:21:07+00:00
GoogleCloudPlatform/forseti-security;63;2751;1274;2023-06-05 23:47:25+00:00
MDAnalysis/mdanalysis;30;3435;1276;2024-08-26 10:07:49+00:00
Mergifyio/mergify-engine;9;2325;319;2023-09-07 09:36:44+00:00
OpenMined/PySyft;152;2598;9417;2024-08-29 16:20:00+00:00
PyMySQL/PyMySQL;7;4782;7631;2024-06-19 12:57:53+00:00
RPing/influx-prompt;8;2329;45;2021-06-27 15:39:15+00:00
Scitator/catalyst;41;2201;3257;2022-04-29 04:19:24+00:00
ansible/galaxy;7;3629;850;2024-02-06 17:30:32+00:00
blaze/distributed;8;3273;1562;2024-08-28 10:21:11+00:00
cfpb/cfgov-refresh;1586;3788;270;2024-08-27 15:23:40+00:00
cfpb/wagtail-sharing;27;2788;53;2024-01-09 14:22:46+00:00
circus-tent/circus;7;4586;1546;2022-11-24 21:46:32+00:00
clearlinux/autospec;13;3219;100;2024-08-01 23:49:45+00:00
corteva/geocube;30;1974;331;2024-06-26 13:57:22+00:00
delfick/photons;76;1518;73;2024-07-01 03:39:30+00:00
dj-stripe/dj-stripe;70;4042;1597;2024-08-23 11:50:48+00:00
elifesciences/sciencebeam;11;2626;293;2022-03-29 18:41:32+00:00
elyra-ai/elyra;18;1772;1823;2024-08-23 15:35:41+00:00
facebookresearch/detectron2;10;1819;29848;2024-08-22 17:00:16+00:00
gunthercox/ChatterBot;86;3623;14003;2021-06-01 10:43:00+00:00
healthchecks/healthchecks;59;3353;7966;2024-08-29 13:30:28+00:00
httpie/httpie;46;4569;33240;2024-07-10 14:24:03+00:00
idan/oauthlib;48;4666;2781;2024-08-13 07:56:19+00:00
infobyte/faraday;85;3949;4797;2024-08-28 18:57:24+00:00
jazzband/pip-tools;69;4371;7668;2024-05-13 05:22:04+00:00
lbryio/lbry;282;3297;7193;2024-08-02 19:13:15+00:00
matrix-org/sydent;24;3671;290;2024-05-17 09:26:43+00:00
menpo/menpo;34;4141;324;2024-05-06 17:13:07+00:00
missionpinball/mpf;34;3716;214;2024-07-26 02:19:17+00:00
mlflow/mlflow;99;2277;18229;2024-08-29 19:06:14+00:00
mopidy/mopidy;17;5363;8002;2024-07-16 22:26:29+00:00
mopidy/mopidy-gmusic;13;4074;214;2020-12-06 23:22:54+00:00
mopidy/mopidy-mpris;14;3978;35;2023-06-21 20:19:36+00:00
mopidy/mopidy-spotify;27;3977;930;2024-08-13 10:11:34+00:00
moremoban/moban;61;3137;33;2020-10-18 12:07:01+00:00
mozilla/addons-server;5;3863;863;2024-08-29 19:01:59+00:00
mozilla/kitsune;16;5329;1289;2024-08-29 19:48:26+00:00
mozilla/pontoon;29;4940;1441;2024-08-29 15:44:49+00:00
mozmeao/snippets-service;95;4136;31;2024-04-17 14:12:16+00:00
mytardis/mytardis;20;4664;86;2022-07-11 05:52:19+00:00
nipy/nibabel;40;5152;642;2024-07-26 13:09:43+00:00
openwisp/openwisp-monitoring;6;1623;161;2024-08-28 17:24:41+00:00
optuna/optuna;65;2381;10404;2024-08-29 05:37:20+00:00
pfnet/pfio;37;1955;52;2024-08-28 06:51:23+00:00
pfnet/pfrl;5;1527;1173;2024-08-04 17:00:39+00:00
pimoroni/mopidy-raspberry-gpio;5;1785;21;2021-11-16 16:23:25+00:00
praw-dev/asyncpraw;12;2032;107;2024-08-26 15:43:16+00:00
pypa/bandersnatch;31;2299;446;2024-08-27 12:51:14+00:00
pypa/readme_renderer;29;3836;158;2024-07-08 14:59:47+00:00
pyproj4/pyproj;52;3530;1036;2024-08-27 03:20:31+00:00
realsuayip/django-sozluk;19;1766;313;2024-08-09 19:24:01+00:00
rectalogic/mopidy-pandora;13;3536;27;2023-06-21 19:58:24+00:00
rigetti/grove;8;2807;374;2019-01-03 22:56:58+00:00
salesforce/django-declarative-apis;18;1875;26;2024-06-21 15:52:09+00:00
sphinx-doc/sphinx;57;3527;6374;2024-08-27 09:44:51+00:00
tensorflow/hub;20;2362;3462;2024-06-06 21:49:15+00:00
tfeldmann/organize;49;2535;2077;2024-08-06 16:09:38+00:00
torchbox/wagtail;244;3860;17812;2024-08-29 17:32:20+00:00
unknown-horizons/unknown-horizons;25;5120;1417;2023-12-21 00:22:43+00:00
zalando-stups/zign;9;3396;12;2020-02-17 18:40:07+00:00
zalando/connexion;138;3390;4473;2024-05-30 07:21:06+00:00
LyfeOnEdge/HBUpdater;21;1963;42;2020-01-24 19:51:26+00:00
cclib/cclib;26;3895;324;2024-08-29 14:16:49+00:00
jsalt18-sentence-repl/jiant;19;2264;1636;2022-10-17 19:34:56+00:00
pantsbuild/pants;518;4273;3247;2024-08-29 13:57:01+00:00
spotdl/spotify-downloader;85;2976;16656;2024-08-26 10:58:17+00:00
scrapinghub/scrapy-autounit;14;2058;55;2021-07-09 21:09:09+00:00
sosy-lab/benchexec;60;3485;227;2024-08-28 05:16:24+00:00
1Prototype1/HexBot;6;1465;107;2023-10-04 18:27:12+00:00
Nathan-LS/Insight;11;2394;31;2022-05-08 02:13:45+00:00
ParadoxAlarmInterface/pai;35;2337;347;2024-08-26 20:24:11+00:00
Roxxers/roxbot;12;2655;21;2019-10-23 13:48:44+00:00
danieldotnl/hass-multiscrape;11;1483;18;2021-05-17 19:57:36+00:00
laramies/theHarvester;26;4988;10990;2024-08-26 21:47:08+00:00
lgrahl/threema-msgapi-sdk-python;17;3446;50;2024-08-21 19:47:59+00:00
qtumproject/qtum-electrum;46;2551;72;2023-11-28 12:10:17+00:00
randovania/randovania;124;2548;186;2024-08-29 20:16:37+00:00
y-young/nazurin;24;1657;260;2024-07-03 14:44:50+00:00
abrt/faf;6;4227;46;2024-04-21 17:47:13+00:00
fedora-infra/python-fedora;6;4239;33;2020-11-25 15:24:03+00:00
jhermann/rituals;5;3481;30;2022-05-11 09:24:13+00:00
novafloss/django-generic-filters;22;4014;50;2022-03-29 08:10:12+00:00
onepercentclub/bluebottle;369;3989;11;2024-08-28 11:46:05+00:00
santoshphilip/eppy;33;4352;151;2023-06-30 02:16:41+00:00
AppScale/appscale-tools;23;4514;51;2020-01-25 01:04:08+00:00
Borda/BIRL;6;2862;90;2022-01-04 08:38:14+00:00
DLR-RM/BlenderProc;6;1785;2710;2024-08-16 14:30:03+00:00
DMS-Aus/Roam;15;3928;169;2023-05-08 01:10:40+00:00
StackStorm/st2;70;3781;6020;2024-07-31 12:43:59+00:00
awslabs/sockeye;76;2639;1210;2024-06-07 14:37:59+00:00
choderalab/Protons;7;3949;21;2021-09-20 20:37:23+00:00
dataversioncontrol/dvc;544;2735;13546;2024-08-29 16:47:16+00:00
epinna/weevely3;12;3631;3147;2024-04-29 14:46:59+00:00
hammerlab/mhcflurry;28;3349;189;2024-07-28 17:46:46+00:00
hibtc/cpymad;16;3561;26;2024-04-26 00:07:04+00:00
metabrainz/picard;77;4761;3679;2024-08-29 12:18:54+00:00
patacrep/patacrep;6;4163;46;2024-07-01 07:10:20+00:00
poldracklab/niworkflows;171;2961;86;2024-08-05 23:51:09+00:00
ros-infrastructure/bloom;6;4480;58;2024-04-30 21:24:18+00:00
torchbox/django-pattern-library;8;1653;359;2024-01-17 12:02:32+00:00
borisbabic/browser_cookie3;6;3413;824;2023-07-17 16:50:26+00:00
ihaveamac/3dsconv;17;3058;506;2024-08-13 21:07:36+00:00
mkb79/Audible;35;1899;304;2024-07-26 11:32:28+00:00
255BITS/HyperGAN;7;2987;1194;2021-01-24 21:17:54+00:00
DiamondLightSource/Savu;23;3578;38;2022-08-18 10:08:34+00:00
psychopy/psychopy;110;5111;1664;2024-08-29 16:19:56+00:00
python-microscopy/python-microscopy;39;1736;83;2024-08-27 23:24:39+00:00
AppScale/appscale;29;4542;2420;2020-05-26 16:05:08+00:00
Baekalfen/PyBoy;32;3380;4564;2024-07-13 17:17:44+00:00
Breakthrough/PySceneDetect;33;3739;3094;2024-07-07 22:08:54+00:00
City-of-Helsinki/respa;19;3380;78;2024-04-05 10:21:40+00:00
Clinical-Genomics/BALSAMIC;33;2366;44;2024-06-26 13:56:29+00:00
Cog-Creators/Red-DiscordBot;83;3162;4693;2024-08-28 13:47:35+00:00
Dan6erbond/aPRAW;18;1831;50;2021-08-31 09:50:06+00:00
DataDog/dd-trace-py;521;2992;512;2024-08-29 18:01:45+00:00
ESMValGroup/ESMValCore;50;1913;42;2024-08-23 15:21:42+00:00
FAForever/server;71;3593;67;2024-06-23 19:01:09+00:00
GeorgeCiesinski/text-script;6;1701;72;2020-05-23 00:07:03+00:00
GeoscienceAustralia/PyRate;7;3384;200;2022-02-25 04:08:37+00:00
GoogleCloudPlatform/terraform-python-testing-helper;36;1988;209;2024-06-21 11:38:50+00:00
HTTP-APIs/hydrus;15;2816;193;2022-09-17 01:41:55+00:00
IBM/lale;84;1850;326;2024-08-28 11:05:55+00:00
JNRowe/pyisbn;10;5607;41;2024-05-31 15:33:58+00:00
KanoComputing/kano-toolset;51;3830;15;2019-10-04 15:51:34+00:00
KeepSafe/aiohttp;150;3984;14906;2024-08-29 19:34:08+00:00
KimiNewt/pyshark;16;3897;2195;2024-07-20 16:11:40+00:00
LLNL/spack;44;3886;4196;2024-08-29 18:49:53+00:00
Materials-Consortia/optimade-python-tools;86;2276;64;2024-08-26 13:55:25+00:00
Mouse-Imaging-Centre/pyminc;14;4548;13;2022-05-24 16:15:11+00:00
MozillaSecurity/laniakea;8;3564;27;2019-12-18 00:26:25+00:00
MozillaSecurity/lithium;11;3340;94;2024-07-10 18:02:23+00:00
NSLS-II/ophyd;13;3585;49;2024-08-01 14:58:13+00:00
OGGM/oggm;22;3247;215;2024-08-25 16:52:58+00:00
OP2/PyOP2;116;4460;80;2024-06-18 09:26:54+00:00
PennyLaneAI/pennylane;58;2326;2253;2024-08-29 18:11:10+00:00
ProjectQ-Framework/ProjectQ;24;2801;874;2024-04-23 19:20:47+00:00
QCoDeS/Qcodes;83;3369;320;2024-08-29 05:46:26+00:00
RunestoneInteractive/RunestoneServer;25;4598;575;2024-06-30 19:01:11+00:00
SamR1/FitTrackee;81;2706;680;2024-08-25 14:19:34+00:00
SparkTC/enterprise_gateway;38;2687;616;2024-07-13 15:01:05+00:00
StellarCN/py-stellar-base;148;3261;342;2024-08-19 06:17:06+00:00
Telefonica/toolium;63;3235;113;2024-07-15 10:35:43+00:00
TileDB-Inc/TileDB-Py;140;2658;184;2024-08-29 14:35:49+00:00
Toblerity/Fiona;23;4625;1143;2024-08-26 18:22:41+00:00
Toblerity/rtree;13;4820;615;2024-08-05 00:35:58+00:00
Trusted-AI/adversarial-robustness-toolbox;58;2359;4725;2024-08-28 21:37:17+00:00
Ultimaker/Uranium;7;3580;322;2024-08-16 12:50:04+00:00
XKNX/xknx;121;3126;285;2024-08-26 13:08:56+00:00
acsone/setuptools-odoo;21;3257;41;2024-03-16 13:27:21+00:00
aio-libs/aiohttp-session;24;3514;236;2023-12-01 00:34:47+00:00
aio-libs/aioredis;29;3749;2296;2022-02-22 14:33:33+00:00
akrherz/pyIEM;30;4254;41;2024-08-15 17:48:38+00:00
albermax/innvestigate;6;2451;1252;2023-10-12 14:56:47+00:00
alphatwirl/alphatwirl;43;3482;10;2020-05-16 07:16:32+00:00
amphibian-dev/toad;9;2190;473;2024-07-10 01:48:10+00:00
ansible-community/ansible-lint;97;4033;3427;2024-08-27 08:12:15+00:00
ansible/ansible;99;4559;62205;2024-08-29 19:25:17+00:00
appium/python-client;9;3797;1647;2024-08-29 17:43:37+00:00
aws/sagemaker-xgboost-container;6;1927;121;2024-07-25 21:49:32+00:00
awslabs/autogluon;33;1858;7581;2024-08-29 18:10:39+00:00
beer-garden/beer-garden;66;2399;256;2024-08-29 19:01:27+00:00
biologyguy/BuddySuite;16;3514;123;2021-12-06 02:26:18+00:00
biosustain/cameo;33;3809;113;2022-02-03 09:05:12+00:00
bmoscon/cryptofeed;73;2448;2184;2024-08-28 11:38:14+00:00
braindecode/braindecode;5;1696;773;2024-06-19 07:08:18+00:00
brechtm/rinohtype;15;3959;499;2024-08-20 08:18:01+00:00
bsmurphy/PyKrige;11;3619;751;2024-05-27 22:09:08+00:00
carpedm20/fbchat;47;3421;1183;2020-09-23 10:07:26+00:00
chainer/chainer-chemistry;8;2466;628;2020-10-23 01:59:04+00:00
cobbler/cobbler;42;4678;2592;2024-08-09 07:56:59+00:00
cobrateam/splinter;14;5093;2710;2024-08-06 15:09:25+00:00
codeforpdx/recordexpungPDX;73;2148;50;2024-08-28 01:37:22+00:00
creare-com/podpac;16;2361;43;2024-06-28 17:07:07+00:00
cylc/cylc;100;4837;326;2024-08-29 11:01:01+00:00
darcymason/pydicom;29;3955;1870;2024-08-26 21:54:44+00:00
databricks/koalas;47;2064;3327;2023-09-21 03:12:16+00:00
dateutil/dateutil;20;3571;2311;2024-07-29 15:08:02+00:00
davidh-ssec/polar2grid;9;4460;71;2024-08-25 02:01:35+00:00
dbcli/mssql-cli;9;2512;1352;2023-04-11 00:18:45+00:00
dhimmel/obonet;6;3392;135;2024-07-20 13:19:19+00:00
dnouri/skorch;16;2599;5747;2024-05-30 14:31:49+00:00
dropbox/dropbox-sdk-python;95;3365;930;2024-06-03 16:22:04+00:00
dstrigl/htheatpump;10;2751;20;2024-08-25 09:42:19+00:00
duniter/sakia;78;3864;64;2018-12-02 09:31:22+00:00
edx/edx-lint;33;3500;50;2024-08-23 14:47:02+00:00
equinor/gordo;218;2150;26;2024-07-09 04:57:36+00:00
fchollet/keras;70;3442;61517;2024-08-29 17:51:33+00:00
fitodic/centerline;6;3562;263;2024-05-26 11:56:11+00:00
flairNLP/flair;26;2271;13790;2024-08-23 15:38:46+00:00
flashcode/msgcheck;8;4256;12;2024-05-24 08:31:16+00:00
frgfm/torch-cam;8;1620;1957;2024-08-22 19:31:14+00:00
gaphor/gaphas;55;5550;164;2024-08-26 23:32:11+00:00
gaphor/gaphor;64;5544;1815;2024-08-27 10:40:14+00:00
gatheringhallstudios/MHWorldData;29;2373;147;2021-03-04 23:55:49+00:00
geopy/geopy;37;5291;4421;2023-11-23 21:41:49+00:00
getnikola/nikola;80;4520;2596;2024-08-28 20:41:50+00:00
gijzelaerr/python-snap7;21;3977;642;2024-07-25 12:00:16+00:00
glotzerlab/signac;14;2037;129;2024-08-01 13:08:25+00:00
hachmannlab/ChemML;5;2457;159;2023-10-08 15:27:11+00:00
hugovk/pypistats;29;2168;196;2024-08-06 14:46:06+00:00
ishepard/pydriller;43;2353;825;2024-08-27 10:08:00+00:00
jgayfer/pydest;5;2578;70;2024-05-23 15:56:21+00:00
jhfjhfj1/autokeras;59;2474;9102;2024-03-20 22:02:12+00:00
joke2k/faker;280;4307;17527;2024-08-23 16:28:25+00:00
josuebrunel/yahoo-oauth;7;3377;64;2024-08-20 04:19:36+00:00
k-bx/python-semver;19;4587;461;2024-07-16 13:00:18+00:00
kbandla/dpkt;11;4467;1084;2024-05-05 16:48:10+00:00
kenfar/DataGristle;5;4918;135;2022-11-12 04:33:17+00:00
larq/zoo;58;1946;104;2024-08-06 08:57:01+00:00
lbl-anp/becquerel;17;2885;43;2024-06-05 23:50:04+00:00
lingthio/Flask-User;6;3843;1056;2019-12-18 13:33:49+00:00
lockwooddev/python-wowapi;8;4106;49;2021-05-04 13:50:35+00:00
mackelab/sbi;31;1661;563;2024-08-29 14:19:25+00:00
matthewgilbert/pdblp;9;3357;241;2022-05-28 00:43:32+00:00
microsoft/graspologic;16;2183;754;2024-06-07 17:17:25+00:00
microsoft/playwright-python;89;1520;11437;2024-08-28 18:12:40+00:00
mindsdb/mindsdb;241;2219;26113;2024-08-28 12:09:41+00:00
mit-crpg/openmc;20;4788;742;2024-08-23 16:56:26+00:00
ml31415/numpy-groupies;14;4108;194;2024-07-29 05:50:13+00:00
nautechsystems/nautilus_trader;106;2257;1930;2024-08-29 20:24:01+00:00
nco/pynco;6;3881;91;2024-01-29 02:29:18+00:00
nengo/nengo;21;4149;814;2023-11-17 15:42:30+00:00
neo4j/neo4j-python-driver;105;3404;891;2024-08-29 11:30:35+00:00
nicolewhite/cycli;6;3317;271;2018-04-05 15:48:15+00:00
nipy/nipype;43;5152;746;2024-05-30 14:50:18+00:00
ns1/ns1-python;7;2855;25;2024-07-24 18:42:09+00:00
nvictus/priority-queue-dictionary;7;4503;85;2024-08-01 02:02:20+00:00
oVirt/vdsm;22;4325;160;2024-06-07 09:07:37+00:00
ocadotechnology/aimmo;587;3334;116;2024-07-17 09:59:41+00:00
odlgroup/odl;15;3220;361;2024-08-29 14:31:05+00:00
openstenoproject/plover;43;4460;2314;2024-03-28 16:36:57+00:00
opsdroid/opsdroid;50;2958;820;2024-07-25 08:38:35+00:00
osbuild/osbuild;131;2053;202;2024-08-28 23:45:48+00:00
pantsbuild/pex;275;3692;2518;2024-08-26 15:28:46+00:00
