vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-f7vx-j8mp-3h2x,@theia/mini-browser,0.3.9,0.16.0,
GHSA-rvgm-35jw-q628,mdx-mermaid,0,1.3.0,https://github.com/sjwall/mdx-mermaid
GHSA-rvgm-35jw-q628,mdx-mermaid,2.0.0-rc1,2.0.0-rc2,https://github.com/sjwall/mdx-mermaid
GHSA-cfhh-xgwq-5r67,@plone/volto,14.0.0-alpha.6,15.0.0-alpha.0,https://github.com/plone/volto
GHSA-w7jx-j77m-wp65,tinymce,0,5.6.0,
GHSA-w7jx-j77m-wp65,TinyMCE,0,5.6.0,
GHSA-w7jx-j77m-wp65,tinymce/tinymce,0,5.6.0,
GHSA-rrqm-p222-8ph2,dynamoose,2.0.0,2.7.0,https://github.com/dynamoose/dynamoose
GHSA-rmmc-8cqj-hfp3,otpauth,0,3.2.8,
GHSA-w7fj-336r-vw49,@backstage/plugin-auth-backend,0,0.4.9,https://github.com/backstage/backstage
GHSA-jqh7-w5pr-cr56,@shopify/koa-shopify-auth,3.1.61,3.1.63,
GHSA-f825-f98c-gj3g,mongoose,6.0.0,6.4.6,https://github.com/automattic/mongoose/
GHSA-f825-f98c-gj3g,mongoose,0,5.13.15,https://github.com/automattic/mongoose/
GHSA-f9mq-jph6-9mhm,electron,0,7.2.4,
GHSA-f9mq-jph6-9mhm,electron,8.0.0,8.2.4,
GHSA-2fqv-h3r5-m4vf,plotly.js,0,1.16.0,
GHSA-c75v-2vq8-878f,@angular/core,0,11.0.5,https://github.com/angular/angular
GHSA-c75v-2vq8-878f,@angular/core,11.1.0-next.0,11.1.0-next.3,https://github.com/angular/angular
GHSA-5j3g-jfq3-7jwx,bassmaster,0,1.5.2,https://github.com/hapijs/bassmaster
GHSA-gjm5-83cw-p3p2,extend2,0,1.0.1,https://github.com/eggjs/extend2
GHSA-mg3m-f475-28hv,@backstage/plugin-scaffolder-backend,0,0.15.14,https://github.com/backstage/backstage
GHSA-4jpv-8r57-pv7j,@nestjs/core,0,9.0.5,https://github.com/nestjs/nest
