"system_name","package_name","version_name","release_date","next_version_name","next_version_release_date"
"NPM","protobufjs","5.0.3","2018-05-16 09:21:38","6.0.0","2016-11-28 17:14:10"
"NPM","protobufjs","6.0.0","2016-11-28 17:14:10","6.0.1","2016-12-01 10:32:01"
"NPM","protobufjs","6.0.1","2016-12-01 10:32:01","6.0.2","2016-12-05 19:05:55"
"NPM","protobufjs","6.0.2","2016-12-05 19:05:55","6.1.0","2016-12-11 01:15:59"
"NPM","protobufjs","6.1.0","2016-12-11 01:15:59","6.1.1","2016-12-13 17:04:56"
"NPM","protobufjs","6.1.1","2016-12-13 17:04:56","6.2.0","2016-12-15 17:00:39"
"NPM","protobufjs","6.2.0","2016-12-15 17:00:39","6.2.1","2016-12-16 16:14:50"
"NPM","protobufjs","6.2.1","2016-12-16 16:14:50","6.3.0","2016-12-26 18:01:35"
"NPM","protobufjs","6.3.0","2016-12-26 18:01:35","6.3.1","2016-12-27 22:32:38"
"NPM","protobufjs","6.3.1","2016-12-27 22:32:38","6.4.0","2017-01-03 15:54:17"
"NPM","protobufjs","6.4.0","2017-01-03 15:54:17","6.4.1","2017-01-04 12:39:39"
"NPM","protobufjs","6.4.1","2017-01-04 12:39:39","6.4.3","2017-01-06 00:15:37"
"NPM","protobufjs","6.4.3","2017-01-06 00:15:37","6.4.4","2017-01-06 02:06:03"
"NPM","protobufjs","6.4.4","2017-01-06 02:06:03","6.4.5","2017-01-07 15:03:52"
"NPM","protobufjs","6.4.5","2017-01-07 15:03:52","6.4.6","2017-01-11 01:31:50"
"NPM","protobufjs","6.4.6","2017-01-11 01:31:50","6.5.0","2017-01-17 13:54:58"
"NPM","protobufjs","6.5.0","2017-01-17 13:54:58","6.5.1","2017-01-18 02:28:58"
"NPM","protobufjs","6.5.1","2017-01-18 02:28:58","6.5.2","2017-01-19 16:38:33"
"NPM","protobufjs","6.5.2","2017-01-19 16:38:33","6.5.3","2017-01-19 22:28:40"
"NPM","protobufjs","6.5.3","2017-01-19 22:28:40","6.6.0","2017-01-24 04:07:14"
"NPM","protobufjs","6.6.0","2017-01-24 04:07:14","6.6.1","2017-01-24 13:13:08"
"NPM","protobufjs","6.6.1","2017-01-24 13:13:08","6.6.2","2017-01-27 16:23:24"
"NPM","protobufjs","6.6.2","2017-01-27 16:23:24","6.6.3","2017-01-30 23:56:59"
"NPM","protobufjs","6.6.3","2017-01-30 23:56:59","6.6.4","2017-02-28 22:18:07"
"NPM","protobufjs","6.6.4","2017-02-28 22:18:07","6.6.5","2017-03-02 19:13:00"
"NPM","protobufjs","6.6.5","2017-03-02 19:13:00","6.7.0","2017-04-02 11:35:44"
"NPM","protobufjs","6.7.0","2017-04-02 11:35:44","6.7.1","2017-04-05 10:48:25"
"NPM","protobufjs","6.7.1","2017-04-05 10:48:25","6.7.2","2017-04-08 08:46:34"
"NPM","protobufjs","6.7.2","2017-04-08 08:46:34","6.7.3","2017-04-08 11:50:05"
"NPM","protobufjs","6.7.3","2017-04-08 11:50:05","6.8.0","2017-06-09 21:25:40"
"NPM","protobufjs","6.8.0","2017-06-09 21:25:40","6.8.1","2017-11-27 17:13:08"
"NPM","protobufjs","6.8.1","2017-11-27 17:13:08","6.8.2","2017-11-29 01:10:18"
"NPM","protobufjs","6.8.2","2017-11-29 01:10:18","6.8.3","2017-11-29 11:28:12"
"NPM","protobufjs","6.8.3","2017-11-29 11:28:12","6.8.4","2018-01-04 21:56:37"
"NPM","protobufjs","6.8.4","2018-01-04 21:56:37","6.8.5","2018-02-19 12:11:13"
"NPM","protobufjs","6.8.5","2018-02-19 12:11:13","6.8.6","2018-02-26 11:48:33"
"NPM","protobufjs","6.8.6","2018-02-26 11:48:33","6.8.7","2018-07-18 23:49:33"
"NPM","protobufjs","6.8.7","2018-07-18 23:49:33","6.8.8","2018-07-19 00:38:59"
"NPM","protobufjs","6.8.8","2018-07-19 00:38:59","6.8.9","2020-03-11 18:50:04"
"NPM","protobufjs","6.8.9","2020-03-11 18:50:04","6.9.0-beta.0","2020-04-17 22:33:45"
"NPM","protobufjs","6.9.0-beta.0","2020-04-17 22:33:45","6.9.0-pre","2020-04-17 19:52:13"
"NPM","protobufjs","6.9.0-pre","2020-04-17 19:52:13","6.9.0","2020-04-20 18:14:12"
"NPM","protobufjs","6.9.0","2020-04-20 18:14:12","6.10.0-beta.0","2020-06-17 23:06:56"
"NPM","protobufjs","6.10.0-beta.0","2020-06-17 23:06:56","6.10.0-beta.1","2020-07-13 21:35:25"
"NPM","protobufjs","6.10.0-beta.1","2020-07-13 21:35:25","6.10.0-beta.2","2020-07-13 23:07:43"
"NPM","protobufjs","6.10.0-beta.2","2020-07-13 23:07:43","6.10.0","2020-07-13 23:34:51"
"NPM","protobufjs","6.10.0","2020-07-13 23:34:51","6.10.1-beta.0","2020-07-16 02:39:11"
"NPM","protobufjs","6.10.1-beta.0","2020-07-16 02:39:11","6.10.1","2020-07-16 02:53:35"
"NPM","protobufjs","6.10.1","2020-07-16 02:53:35","6.10.2","2020-11-16 21:16:34"
"NPM","protobufjs","6.10.2","2020-11-16 21:16:34","6.10.3","2022-05-20 19:10:15"
"NPM","protobufjs","6.10.3","2022-05-20 19:10:15","6.11.0-pre","2021-04-09 03:52:36"
"NPM","protobufjs","6.11.0-pre","2021-04-09 03:52:36","6.11.0","2021-04-29 02:36:01"
"NPM","protobufjs","6.11.0","2021-04-29 02:36:01","6.11.1","2021-04-29 18:22:21"
"NPM","protobufjs","6.11.1","2021-04-29 18:22:21","6.11.2","2021-04-30 17:31:06"
"NPM","protobufjs","6.11.2","2021-04-30 17:31:06","6.11.3","2022-05-20 19:36:26"
"NPM","protobufjs","6.11.3","2022-05-20 19:36:26","7.0.0","2022-07-08 16:45:34"
"NPM","protobufjs","7.0.0","2022-07-08 16:45:34","7.1.0","2022-08-26 22:30:54"
"NPM","protobufjs","7.1.0","2022-08-26 22:30:54","7.1.1","2022-09-10 00:39:08"
"NPM","protobufjs","7.1.1","2022-09-10 00:39:08","7.1.2","2022-09-22 18:47:08"
"NPM","protobufjs","7.1.2","2022-09-22 18:47:08","7.2.0","2023-01-24 20:12:28"
"NPM","protobufjs","7.2.0","2023-01-24 20:12:28","7.2.1","2023-02-02 22:23:00"
"NPM","protobufjs","7.2.1","2023-02-02 22:23:00","7.2.2","2023-02-07 15:27:08"
"NPM","protobufjs","7.2.2","2023-02-07 15:27:08","7.2.3","2023-03-27 18:10:25"
"NPM","protobufjs","7.2.3","2023-03-27 18:10:25","7.2.4","2023-06-27 17:05:27"
"NPM","protobufjs","7.2.4","2023-06-27 17:05:27",NULL,NULL
